timestamp,id,limit_group,poi_code,new_pre_control_mbps_in,limit_mbps_in,new_volume_mbps_in,new_volume_mbps_out,new_dropped_mbps_in,cur_volume_mbps_in,cur_volume_mbps_out,new_volume_bytes_in,new_volume_bytes_out,cur_volume_bytes_in,cur_volume_bytes_out,limit_kbps_in,new_dropped_bytes_in,new_dropped_packets_in
2025-01-15 00:00:00,AA00-00-2015,AA00-00,2015,354.1,809.3,354.1,22.2,0.0,448.1,28.8,13277451937.0,831321610.0,16804966793.0,1080988234.0,809321.0,0.0,0.0
2025-01-15 00:05:00,AA00-00-2015,AA00-00,2015,380.9,809.3,380.9,48.2,0.0,445.8,33.6,14283223999.0,1808752090.0,16716098132.0,1258939839.0,809321.0,0.0,0.0
2025-01-15 00:10:00,AA00-00-2015,AA00-00,2015,380.1,809.3,380.1,52.5,0.0,478.3,50.2,14255203685.0,1966986814.0,17937564007.0,1880809030.0,809321.0,0.0,0.0
2025-01-15 00:15:00,AA00-00-2015,AA00-00,2015,393.9,809.3,393.9,55.1,0.0,0.0,0.0,14769395191.0,2066606024.0,0.0,0.0,809321.0,0.0,0.0
2025-01-15 00:20:00,AA00-00-2015,AA00-00,2015,364.0,789.3,364.0,23.0,0.0,430.3,30.8,13650721141.0,861753606.0,16136187544.0,1154054454.0,789271.0,0.0,0.0
2025-01-15 00:25:00,AA00-00-2015,AA00-00,2015,365.1,789.3,365.1,25.6,0.0,482.5,43.7,13689881455.0,960748964.0,18094467128.0,1638173514.0,789271.0,0.0,0.0
2025-01-15 00:30:00,AA00-00-2015,AA00-00,2015,364.2,789.3,364.2,45.9,0.0,453.2,63.7,13657397770.0,1721378506.0,16993483146.0,2387468160.0,789271.0,0.0,0.0
2025-01-15 00:35:00,AA00-00-2015,AA00-00,2015,357.6,789.3,357.6,28.6,0.0,476.6,55.3,13409464536.0,1074052945.0,17872366708.0,2072492862.0,789271.0,0.0,0.0
2025-01-15 00:40:00,AA00-00-2015,AA00-00,2015,325.9,780.9,325.9,41.0,0.0,470.6,36.7,12222552950.0,1535703995.0,17647993842.0,1375216841.0,780924.0,0.0,0.0
2025-01-15 00:45:00,AA00-00-2015,AA00-00,2015,392.7,780.9,392.7,28.5,0.0,456.1,60.3,14727115723.0,1068878672.0,17104985193.0,2262526365.0,780924.0,0.0,0.0
2025-01-15 00:50:00,AA00-00-2015,AA00-00,2015,390.2,780.9,390.2,21.1,0.0,457.1,25.9,14632973097.0,790669072.0,17141150308.0,972102982.0,780924.0,0.0,0.0
2025-01-15 00:55:00,AA00-00-2015,AA00-00,2015,346.3,780.9,346.3,33.5,0.0,470.9,30.5,12987838456.0,1257946178.0,17658837643.0,1145377572.0,780924.0,0.0,0.0
2025-01-15 01:00:00,AA00-00-2015,AA00-00,2015,366.9,807.3,366.9,54.5,0.0,430.7,39.9,13758154918.0,2042610630.0,16151039702.0,1497917560.0,807332.0,0.0,0.0
