タイムスタンプ,回線番号,下りのトラヒック量(Byte),上りのトラヒック量(Byte),下りの廃棄量(Packets),下りの廃棄量(Byte)
2026-02-07 00:00:00,AA00-00,217104586,401316213,0,0
2026-02-07 00:00:00,BB00-00,481424601,60909531,0,0
2026-02-07 00:00:00,CC00-00,68729296,281898297,0,0
2026-02-07 00:00:00,DD00-00,544639074,621648260,0,0
2026-02-07 00:00:00,EE00-00,280105955,22923613,34926,52389474
2026-02-07 00:00:00,FF00-00,131141079,181394596,0,0
2026-02-07 00:00:00,GG00-00,269948179,351757034,0,0
2026-02-07 00:00:00,HH00-00,376204227,233579266,0,0
2026-02-07 00:00:00,II00-00,478617860,46727138,0,0
2026-02-07 00:00:00,JJ00-00,315128037,295313800,0,0
2026-02-07 00:00:00,KK00-00,566699295,258049583,0,0
2026-02-07 00:00:00,LL00-00,504288776,322553765,61763,92645028
2026-02-07 00:00:00,MM00-00,194734362,386333557,0,0
2026-02-07 00:00:00,NN00-00,217366491,52076423,19643,29465660
2026-02-07 00:00:00,OO00-00,202960582,386659365,0,0
2026-02-07 00:00:00,PP00-00,296315102,79488233,24602,36903381
2026-02-07 00:00:00,QQ00-00,252386684,346406708,31020,46530533
2026-02-07 00:00:00,RR00-00,164524104,424347436,13534,20301965
2026-02-07 00:00:00,SS00-00,286633484,196355879,0,0
2026-02-07 00:00:00,TT00-00,316539598,126634807,0,0
2026-02-07 00:00:00,UU00-00,273536033,330521779,0,0
2026-02-07 00:00:00,VV00-00,431955806,422852805,0,0
2026-02-07 00:00:00,WW00-00,527488487,577601527,0,0
2026-02-07 00:00:00,XX00-00,488591034,174479448,0,0
2026-02-07 00:00:00,YY00-00,427040450,570943286,49009,73514289
2026-02-07 00:00:00,ZZ00-00,197176113,473452580,25305,37958629
2026-02-07 00:05:00,AA00-00,218415192,380173236,27252,40879129
2026-02-07 00:05:00,BB00-00,434953661,66871243,38032,57048380
2026-02-07 00:05:00,CC00-00,65641008,279989763,5470,8206397
2026-02-07 00:05:00,DD00-00,581747307,660735871,0,0
2026-02-07 00:05:00,EE00-00,303071331,24344872,0,0
2026-02-07 00:05:00,FF00-00,126614998,174788731,0,0
2026-02-07 00:05:00,GG00-00,264522674,350058273,23323,34985132
2026-02-07 00:05:00,HH00-00,413196512,227127472,0,0
2026-02-07 00:05:00,II00-00,499839963,46704292,0,0
2026-02-07 00:05:00,JJ00-00,313285673,290191034,0,0
2026-02-07 00:05:00,KK00-00,511382303,243278141,0,0
2026-02-07 00:05:00,LL00-00,454872747,321722489,0,0
2026-02-07 00:05:00,MM00-00,196916235,352432635,17926,26890100
2026-02-07 00:05:00,NN00-00,236971386,55111697,31098,46647024
2026-02-07 00:05:00,OO00-00,210843651,377364363,0,0
2026-02-07 00:05:00,PP00-00,298320083,75356964,24461,36691998
2026-02-07 00:05:00,QQ00-00,234991230,340229271,0,0
2026-02-07 00:05:00,RR00-00,155161287,386054877,0,0
2026-02-07 00:05:00,SS00-00,258844629,195040057,0,0
2026-02-07 00:05:00,TT00-00,319221912,118299923,38870,58305168
2026-02-07 00:05:00,UU00-00,266855572,348830903,0,0
2026-02-07 00:05:00,VV00-00,466231211,441661205,0,0
2026-02-07 00:05:00,WW00-00,547413011,566921733,0,0
2026-02-07 00:05:00,XX00-00,462366956,160070655,56859,85288806
2026-02-07 00:05:00,YY00-00,448451951,622679731,0,0
2026-02-07 00:05:00,ZZ00-00,185715283,517071677,0,0
2026-02-07 00:10:00,AA00-00,221307668,370303511,0,0
2026-02-07 00:10:00,BB00-00,462365559,65630718,52443,78664978
2026-02-07 00:10:00,CC00-00,63056054,283751330,7313,10970506
2026-02-07 00:10:00,DD00-00,544646049,726555160,0,0
2026-02-07 00:10:00,EE00-00,309836699,24188522,0,0
2026-02-07 00:10:00,FF00-00,116129185,179692800,0,0
2026-02-07 00:10:00,GG00-00,252485500,316742462,33438,50157217
2026-02-07 00:10:00,HH00-00,446352079,207920097,0,0
2026-02-07 00:10:00,II00-00,514874381,47338598,0,0
2026-02-07 00:10:00,JJ00-00,296030545,305103406,0,0
